flag,flag_key,fleet_size,accident_count,accident_rate,accident_rate_norm,avg_severity_risk,severity_risk_norm,avg_ship_type_risk,ship_type_risk_norm,paris_mou_category,paris_rank,paris_inspections_2022_2024,paris_detentions_2022_2024,paris_excess_factor,flag_safety_risk,flag_safety_risk_norm,risk_score
Greece,greece,1203,5,0.004156275976724855,0.004156275976724855,0.85,0.85,0.3782258064516129,0.3782258064516129,white,15,599,12,-1.25,0.0,0.0,0.30809552060708445
Italy,italy,1212,16,0.013201320132013201,0.013201320132013201,0.95625,0.95625,0.25655241935483875,0.25655241935483875,white,8,846,14,-1.48,0.0,0.0,0.30650093487171304
Thailand,thailand,868,8,0.009216589861751152,0.009216589861751152,0.81875,0.81875,0.390625,0.390625,white,36,51,0,-0.09,0.0,0.0,0.30464789746543774
Turkey,turkiye,1220,11,0.009016393442622951,0.009016393442622951,0.9363636363636364,0.9363636363636364,0.25000000000000006,0.25000000000000006,white,32,607,25,-0.42,0.0,0.0,0.29884500745156484
Iceland,iceland,39,1,0.02564102564102564,0.02564102564102564,0.65,0.65,0.008064516129032258,0.008064516129032258,unlisted,,,,,0.5,0.5,0.2959263854425145
Gibraltar,gibraltar,96,13,0.13541666666666666,0.13541666666666666,0.6038461538461539,0.6038461538461539,0.39485111662531014,0.39485111662531014,white,29,293,8,-0.68,0.0,0.0,0.2835284842845327
United States,united states of america,3519,8,0.002273373117362887,0.002273373117362887,0.95625,0.95625,0.17489919354838712,0.17489919354838712,white,22,135,1,-1.07,0.0,0.0,0.2833556416664375
Sweden,sweden,362,9,0.024861878453038673,0.024861878453038673,0.8833333333333334,0.8833333333333334,0.2231182795698925,0.2231182795698925,white,12,317,4,-1.37,0.0,0.0,0.28282837283906614
Iraq,iraq,76,2,0.02631578947368421,0.02631578947368421,0.25,0.25,0.3346774193548387,0.3346774193548387,unlisted,,,,,0.5,0.5,0.2777483022071307
Bermuda,bermuda,114,5,0.043859649122807015,0.043859649122807015,0.78,0.78,0.2806451612903226,0.2806451612903226,white,24,154,2,-0.9,0.0,0.0,0.2761262026032824
Netherlands,netherlands,1200,21,0.0175,0.0175,0.7642857142857145,0.7642857142857145,0.3056835637480799,0.3056835637480799,white,4,2690,46,-1.61,0.0,0.0,0.27186731950844856
Egypt,egypt,453,2,0.004415011037527594,0.004415011037527594,1.0,1.0,0.05645161290322581,0.05645161290322581,white,40,36,0,0.08,0.0,0.0,0.26521665598518834
Japan,japan,5200,9,0.0017307692307692308,0.0017307692307692308,0.7944444444444445,0.7944444444444445,0.24910394265232982,0.24910394265232982,white,10,232,2,-1.41,0.0,0.0,0.2613197890818859
Belgium,belgium,184,12,0.06521739130434782,0.06521739130434782,0.6791666666666668,0.6791666666666668,0.28998655913978494,0.28998655913978494,white,31,168,4,-0.48,0.0,0.0,0.2585926542776999
Moldova,moldova,0,0,0.0,0.0,0.0,0.0,0.0,0.0,black,67,32,10,4.81,1.0,1.0,0.25
Tanzania,tanzania,0,0,0.0,0.0,0.0,0.0,0.0,0.0,black,68,149,41,5.88,1.0,1.0,0.25
Ukraine,ukraine,383,0,0.0,0.0,0.0,0.0,0.0,0.0,black,64,43,9,2.57,1.0,1.0,0.25
Jamaica,jamaica,45,1,0.022222222222222223,0.022222222222222223,0.25,0.25,0.21774193548387097,0.21774193548387097,unlisted,,,,,0.5,0.5,0.24749103942652328
Uruguay,uruguay,61,4,0.06557377049180328,0.06557377049180328,0.35,0.35,0.07358870967741934,0.07358870967741934,unlisted,,,,,0.5,0.5,0.24729062004230565
Germany,germany,602,20,0.03322259136212625,0.03322259136212625,0.6725000000000001,0.6725000000000001,0.280241935483871,0.280241935483871,white,13,486,8,-1.35,0.0,0.0,0.24649113171149933
Lithuania,lithuania,61,2,0.03278688524590164,0.03278688524590164,0.825,0.825,0.08870967741935483,0.08870967741935483,white,34,100,2,-0.15,0.0,0.0,0.23662414066631413
Finland,finland,279,5,0.017921146953405017,0.017921146953405017,0.6399999999999999,0.6399999999999999,0.21693548387096775,0.21693548387096775,white,7,364,4,-1.5,0.0,0.0,0.21871415770609315
Canada,canada,711,9,0.012658227848101266,0.012658227848101266,0.5111111111111111,0.5111111111111111,0.3467741935483871,0.3467741935483871,white,39,36,0,0.08,0.0,0.0,0.21763588312689985
Trinidad and Tobago,trinidad and tobago,99,1,0.010101010101010102,0.010101010101010102,0.25,0.25,0.10887096774193548,0.10887096774193548,unlisted,,,,,0.5,0.5,0.21724299446073642
Paraguay,paraguay,106,1,0.009433962264150943,0.009433962264150943,0.25,0.25,0.10483870967741936,0.10483870967741936,unlisted,,,,,0.5,0.5,0.21606816798539258
Poland,poland,162,2,0.012345679012345678,0.012345679012345678,0.825,0.825,0.008064516129032258,0.008064516129032258,white,37,46,0,0.02,0.0,0.0,0.21135254878534449
Falkland Islands [Islas Malvinas],falkland islands malvinas,0,1,0.0,0.0,0.25,0.25,0.024193548387096774,0.024193548387096774,unlisted,,,,,0.5,0.5,0.1935483870967742
Luxembourg,luxembourg,152,1,0.006578947368421052,0.006578947368421052,0.65,0.65,0.04032258064516129,0.04032258064516129,white,9,235,2,-1.42,0.0,0.0,0.17422538200339557
Estonia,estonia,69,3,0.043478260869565216,0.043478260869565216,0.5166666666666667,0.5166666666666667,0.061827956989247305,0.061827956989247305,white,33,84,1,-0.33,0.0,0.0,0.1554932211313698
"MTUG SURIGAO STRAIT"": Y",mtug surigao strait y,0,1,0.0,0.0,0.0,0.0,0.004032258064516129,0.004032258064516129,unlisted,,,,,0.5,0.5,0.12600806451612903
Algeria,algeria,118,0,0.0,0.0,0.0,0.0,0.0,0.0,grey,53,77,6,0.57,0.5,0.5,0.125
Aruba,aruba,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Austria,austria,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Bahrain,bahrain,159,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Belarus,belarus,4,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Benin,benin,11,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Bosnia and Herzegovina,bosnia and herzegovina,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
British Virgin Islands,british virgin islands,25,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Brunei,brunei darussalam,96,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Cape Verde,cabo verde,42,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Cambodia,cambodia,183,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Chile,chile,242,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Hong Kong,china hong kong sar,2513,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Macau,china macao sar,7,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Taiwan,china taiwan province of,460,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Colombia,colombia,156,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Congo [Republic],congo,10,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Costa Rica,costa rica,11,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Côte d'Ivoire,cote d ivoire,26,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Cuba,cuba,68,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Curacao,curacao,75,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Czech Republic,czechia,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Czechoslovakia,czechoslovakia,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
North Korea,dem. people s rep. of korea,289,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Congo [DRC],dem. rep. of the congo,25,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Germany,democratic republic of germany,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Dominican Republic,dominican republic,41,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
El Salvador,el salvador,6,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Equatorial Guinea,equatorial guinea,40,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Eritrea,eritrea,10,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Swaziland,eswatini,17,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Falkland Islands [Islas Malvinas],falkland islands,2,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Germany,federal republic of germany,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Fiji,fiji,83,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
French Polynesia,french polynesia,28,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
French Southern Territories,french southern territories,3,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Gambia,gambia,37,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Georgia,georgia,28,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Ghana,ghana,51,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Grenada,grenada,6,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Guam,guam,3,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Guatemala,guatemala,13,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
