Economy_Label,2011_Number_of_ships_Value,2011_Number_of_ships_Footnote,2011_Number_of_ships_MissingValue,2012_Number_of_ships_Value,2012_Number_of_ships_Footnote,2012_Number_of_ships_MissingValue,2013_Number_of_ships_Value,2013_Number_of_ships_Footnote,2013_Number_of_ships_MissingValue,2014_Number_of_ships_Value,2014_Number_of_ships_Footnote,2014_Number_of_ships_MissingValue,2015_Number_of_ships_Value,2015_Number_of_ships_Footnote,2015_Number_of_ships_MissingValue,2016_Number_of_ships_Value,2016_Number_of_ships_Footnote,2016_Number_of_ships_MissingValue,2017_Number_of_ships_Value,2017_Number_of_ships_Footnote,2017_Number_of_ships_MissingValue,2018_Number_of_ships_Value,2018_Number_of_ships_Footnote,2018_Number_of_ships_MissingValue,2019_Number_of_ships_Value,2019_Number_of_ships_Footnote,2019_Number_of_ships_MissingValue,2020_Number_of_ships_Value,2020_Number_of_ships_Footnote,2020_Number_of_ships_MissingValue,2021_Number_of_ships_Value,2021_Number_of_ships_Footnote,2021_Number_of_ships_MissingValue,2022_Number_of_ships_Value,2022_Number_of_ships_Footnote,2022_Number_of_ships_MissingValue,2023_Number_of_ships_Value,2023_Number_of_ships_Footnote,2023_Number_of_ships_MissingValue,2024_Number_of_ships_Value,2024_Number_of_ships_Footnote,2024_Number_of_ships_MissingValue,2025_Number_of_ships_Value,2025_Number_of_ships_Footnote,2025_Number_of_ships_MissingValue
"Iraq",72,,,71,,,70,,,63,,,75,,,75,,,74,,,69,,,68,,,69,,,67,,,73,,,74,,,76,,,76,,
"Ireland",84,,,85,,,82,,,82,,,82,,,83,,,85,,,88,,,93,,,97,,,98,,,95,,,93,,,94,,,97,,
"Isle of Man",364,,,411,,,414,,,416,,,413,,,388,,,399,,,411,,,387,,,348,,,319,,,289,,,265,,,262,,,257,,
"Israel",39,,,38,,,38,,,39,,,41,,,43,,,42,,,42,,,39,,,41,,,42,,,45,,,40,,,36,,,35,,
"Italy",1467,,,1505,,,1473,,,1440,,,1441,,,1427,,,1399,,,1362,,,1325,,,1310,,,1312,,,1265,,,1249,,,1232,,,1212,,
"Jamaica",24,,,25,,,29,,,31,,,35,,,34,,,44,,,42,,,39,,,46,,,44,,,37,,,43,,,43,,,45,,
"Japan",5196,,,5128,,,5114,,,5177,,,5200,,,5256,,,5043,,,4993,,,5091,,,5470,,,5136,,,5194,,,5149,,,5166,,,5200,,
"Jordan",27,,,25,,,25,,,22,,,24,,,28,,,31,,,32,,,34,,,35,,,34,,,34,,,34,,,33,,,34,,
"Kazakhstan",89,,,98,,,100,,,107,,,113,,,117,,,120,,,124,,,123,,,124,,,119,,,119,,,116,,,122,,,122,,
"Kenya",22,,,21,,,22,,,19,,,20,,,20,,,23,,,24,,,25,,,25,,,27,,,26,,,26,,,27,,,27,,
"Kiribati",105,,,99,,,121,,,154,,,154,,,141,,,115,,,109,,,88,,,85,,,77,,,75,,,80,,,77,,,76,,
"Kuwait",130,,,138,,,133,,,131,,,152,,,163,,,159,,,157,,,154,,,159,,,168,,,171,,,181,,,181,,,177,,
"Lao People's Dem. Rep.",1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
"Latvia",60,,,59,,,56,,,61,,,63,,,66,,,60,,,66,,,59,,,66,,,70,,,79,,,85,,,90,,,91,,
"Lebanon",54,,,53,,,48,,,47,,,49,,,54,,,53,,,53,,,53,,,50,,,48,,,48,,,50,,,48,,,46,,
"Lesotho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,
"Liberia",2812,,,3012,,,3144,,,3153,,,3127,,,3204,,,3230,,,3314,,,3482,,,3715,,,3932,,,4300,,,4822,,,5225,,,5562,,
"Libya",93,,,89,,,88,,,88,,,99,,,99,,,98,,,98,,,94,,,94,,,94,,,94,,,96,,,91,,,92,,
"Lithuania",74,,,73,,,68,,,69,,,64,,,65,,,60,,,63,,,60,,,62,,,65,,,62,,,59,,,60,,,61,,
